               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.034007,            0.017178,            0.057986,             0.37881,              0.3971,             0.40464,             0.21813,            0.024583,           0.0051493,            0.041979,           0.0088685,           0.0088685,           0.0088685
                 137,            0.033879,            0.016667,            0.056084,             0.34605,               0.471,             0.40561,             0.22097,            0.025531,           0.0050537,            0.042377,           0.0088526,           0.0088526,           0.0088526
                 138,            0.032812,            0.016925,             0.05318,             0.49462,             0.36201,             0.40767,             0.21099,            0.025932,            0.005264,            0.041038,           0.0088365,           0.0088365,           0.0088365
                 139,            0.033693,            0.016495,            0.055046,               0.369,             0.47746,             0.40919,             0.21114,            0.025481,           0.0051432,            0.042231,           0.0088203,           0.0088203,           0.0088203
                 140,            0.033279,            0.016427,            0.055168,             0.30441,               0.482,              0.3909,             0.20048,            0.023958,           0.0051376,            0.040594,           0.0088041,           0.0088041,           0.0088041
                 141,            0.034386,            0.016378,             0.05663,             0.47246,             0.35651,             0.44072,             0.24613,            0.022018,           0.0050858,            0.037903,           0.0087878,           0.0087878,           0.0087878
                 142,            0.032802,            0.016935,            0.052391,             0.25582,             0.50762,             0.38573,             0.20486,            0.024771,            0.005181,              0.0391,           0.0087713,           0.0087713,           0.0087713
                 143,            0.033189,            0.016332,            0.053249,             0.48094,             0.43297,             0.42601,             0.23209,            0.025112,           0.0051552,             0.04198,           0.0087548,           0.0087548,           0.0087548
                 144,            0.031843,            0.016589,            0.053247,             0.26525,             0.52789,             0.40597,             0.22661,            0.023505,           0.0053064,            0.039548,           0.0087382,           0.0087382,           0.0087382
                 145,            0.032467,            0.016526,             0.05136,             0.38284,             0.45264,             0.44348,              0.2321,            0.026149,           0.0048569,            0.037227,           0.0087215,           0.0087215,           0.0087215
                 146,            0.033174,             0.01612,            0.053752,             0.53761,               0.412,             0.47593,             0.24929,            0.025493,           0.0049505,            0.035268,           0.0087047,           0.0087047,           0.0087047
                 147,            0.032729,            0.016235,            0.053656,             0.28598,             0.55665,             0.43139,             0.24491,            0.023992,           0.0049998,            0.041082,           0.0086878,           0.0086878,           0.0086878
                 148,            0.034419,            0.016522,            0.056051,             0.33841,             0.44093,             0.42917,             0.23745,            0.022876,           0.0049772,            0.038323,           0.0086709,           0.0086709,           0.0086709
                 149,            0.033433,            0.016681,            0.052959,             0.31585,             0.45677,             0.40963,             0.22151,            0.021707,           0.0053166,             0.03925,           0.0086538,           0.0086538,           0.0086538
                 150,            0.032298,            0.016577,            0.054037,             0.26594,              0.4716,              0.3954,             0.21015,            0.022166,           0.0051722,            0.040729,           0.0086367,           0.0086367,           0.0086367
                 151,            0.033511,            0.016308,            0.053894,             0.38895,             0.39103,             0.39396,             0.20018,            0.023871,           0.0051262,            0.039815,           0.0086194,           0.0086194,           0.0086194
                 152,            0.032612,            0.016592,            0.051638,             0.32181,             0.49051,             0.44414,             0.23474,            0.024427,           0.0050757,            0.039193,           0.0086021,           0.0086021,           0.0086021
                 153,            0.032554,            0.016414,            0.052795,             0.33812,             0.52031,             0.43528,             0.23274,            0.023463,           0.0051522,            0.044971,           0.0085847,           0.0085847,           0.0085847
                 154,            0.034248,            0.016535,            0.052537,             0.33155,             0.46248,             0.43202,             0.22951,            0.024506,           0.0051624,            0.038721,           0.0085673,           0.0085673,           0.0085673
                 155,            0.033196,            0.015639,            0.054764,              0.4275,             0.43492,             0.44393,             0.24001,            0.023806,           0.0049848,             0.03929,           0.0085497,           0.0085497,           0.0085497
                 156,            0.033421,            0.016858,            0.052459,             0.36322,              0.4719,             0.45101,              0.2553,            0.022374,           0.0052596,            0.039267,            0.008532,            0.008532,            0.008532
                 157,            0.031813,            0.016069,            0.050128,             0.31969,             0.47525,             0.40541,             0.22246,            0.022873,           0.0051988,            0.040488,           0.0085143,           0.0085143,           0.0085143
                 158,            0.032224,            0.016153,            0.051408,              0.3505,             0.46273,             0.42798,             0.23423,            0.023022,           0.0051178,            0.038322,           0.0084965,           0.0084965,           0.0084965
